"","previousIdentification","scientificName","observation"
"39","Aquila chrysaetos","Aquila chrysaetos","Ok ITIS"
"40","Aquila pomarina ","Aquila pomarina ","Ok ITIS"
"41","Aquila rapax","Aquila rapax","Ok ITIS"
"42","Ardea alba","Ardea alba","Ok ITIS"
"43","Ardea cinerea","Ardea cinerea","Ok ITIS"
"44","Ardea purpurea","Ardea purpurea","Ok ITIS"
"45","Ardeola ralloides","Ardeola ralloides","Ok ITIS"
"46","Arenaria interpres","Arenaria interpres","Ok ITIS"
"47","Asio flammeus","Asio flammeus","Ok ITIS"
"48","Asio otus","Asio otus","Ok ITIS"
"49","Athene noctua","Athene noctua","Ok ITIS"
"50","Aythia ferina","Aythia ferina","Ok ITIS"
"51","Aythya ferina","Aythya ferina","Ok ITIS"
"52","Aythya fuligula","Aythya fuligula","Ok ITIS"
"53","Aythya marila ","Aythya marila ","Ok ITIS"
"54","Aythya nyroca","Aythya nyroca","Ok ITIS"
"55","Bombycilla garrulus","Bombycilla garrulus","Ok ITIS"
"56","Bonasa bonasia ","Bonasa bonasia ","Ok ITIS"
"57","Botaurus stellaris","Botaurus stellaris","Ok ITIS"
"58","Branta bernicla","Branta bernicla","Ok ITIS"
"59","Branta canadensis","Branta canadensis","Ok ITIS"
"60","Branta leucopsis","Branta leucopsis","Ok ITIS"
"61","Branta ruficollis","Branta ruficollis","Ok ITIS"
"62","Bubo bubo","Bubo bubo","Ok ITIS"
"63","Bubulcus ibis","Bubulcus ibis","Ok ITIS"
"64","Bucephala clangula ","Bucephala clangula ","Ok ITIS"
"65","Buteo buteo","Buteo buteo","Ok ITIS"
"66","Buteo lagopus","Buteo lagopus","Ok ITIS"
"67","Calidris alba","Calidris alba","Ok ITIS"
"68","Calidris alpina","Calidris alpina","Ok ITIS"
"69","Calidris canutus","Calidris canutus","Ok ITIS"
"70","Calidris falcinellus","Calidris falcinellus","Ok ITIS"
"71","Calidris ferruginea","Calidris ferruginea","Ok ITIS"
"72","Calidris minuta","Calidris minuta","Ok ITIS"
"73","Calidris pugnax","Calidris pugnax","Ok ITIS"
"74","Calidris temminckii","Calidris temminckii","Ok ITIS"
"75","Caprimulgus europaeus ","Caprimulgus europaeus ","Ok ITIS"
"76","Cardueis cannabina","Cardueis cannabina","Ok ITIS"
"77","Carduelis canabina","Carduelis canabina","Ok ITIS"
"78","Carduelis cannabina","Carduelis cannabina","Ok ITIS"
"79","Carduelis carduelis","Carduelis carduelis","Ok ITIS"
"80","Carduelis flammea","Carduelis flammea","Ok ITIS"
"81","Carduelis chloris","Carduelis chloris","Ok ITIS"
"82","Carduelis spinus","Carduelis spinus","Ok ITIS"
"83","Carpodacus erythrinus","Carpodacus erythrinus","Ok ITIS"
"84","Certhia brachydactyla","Certhia brachydactyla","Ok ITIS"
"85","Certhia familiaris","Certhia familiaris","Ok ITIS"
"86","Certhia sp.","Certhia sp.","Ok ITIS"
"87","Cervus frugilegus","Cervus frugilegus","Ok ITIS"
"88","Cettia cetti","Cettia cetti","Ok ITIS"
"89","Ciconia ciconia","Ciconia ciconia","Ok ITIS"
"90","Ciconia nigra","Ciconia nigra","Ok ITIS"
"91","Cinclus cinclus","Cinclus cinclus","Ok ITIS"
"92","Circus aeruginosus","Circus aeruginosus","Ok ITIS"
"93","Circus cyaneus","Circus cyaneus","Ok ITIS"
"94","Circus pygargus","Circus pygargus","Ok ITIS"
"95","Circus sp.","Circus sp.","Ok ITIS"
"96","Clangula hyemalis","Clangula hyemalis","Ok ITIS"
"97","Coccothraustes  coccothraustes","Coccothraustes  coccothraustes","Ok ITIS"
"98","Coccothraustes coccothraustes","Coccothraustes coccothraustes","Ok ITIS"
"99","Coloeus monedula","Coloeus monedula","Ok ITIS"
"100","Colubma oenas","Colubma oenas","Ok ITIS"
"101","Columba livia","Columba livia","Ok ITIS"
"102","Columba livia f. domestica","Columba livia f. domestica","Ok ITIS"
"103","Columba livia f.dom.","Columba livia f.dom.","Ok ITIS"
"104","Columba oenas","Columba oenas","Ok ITIS"
"105","Columba palumbus","Columba palumbus","Ok ITIS"
"106","Coracias garrulus","Coracias garrulus","Ok ITIS"
"107","Corvus corax","Corvus corax","Ok ITIS"
"108","Corvus cornix","Corvus cornix","Ok ITIS"
"109","Corvus corone","Corvus corone","Ok ITIS"
"110","Corvus corone cornix","Corvus corone cornix","Ok ITIS"
"111","Corvus corone corone","Corvus corone corone","Ok ITIS"
"112","Corvus frugilegus","Corvus frugilegus","Ok ITIS"
"113","Corvus monedula","Corvus monedula","Ok ITIS"
"114","Coturnix coturnix","Coturnix coturnix","Ok ITIS"
"115","Crex crex ","Crex crex ","Ok ITIS"
"116","Cuculus canorus","Cuculus canorus","Ok ITIS"
"117","Curruca communis","Curruca communis","Ok ITIS"
"118","Curruca curruca","Curruca curruca","Ok ITIS"
"119","Cyanistes caeruleus","Cyanistes caeruleus","Ok ITIS"
"120","Cyanistes coeruleus","Cyanistes coeruleus","Ok ITIS"
"121","Cygnus columbianus bewickii","Cygnus columbianus bewickii","Ok ITIS"
"122","Cygnus cygnus","Cygnus cygnus","Ok ITIS"
"123","Cygnus olor","Cygnus olor","Ok ITIS"
"124","Delichon urbica","Delichon urbica","Ok ITIS"
"125","Delichon urbicum","Delichon urbicum","Ok ITIS"
"126","Dendrocopos leucotos","Dendrocopos leucotos","Ok ITIS"
"127","Dendrocopos major","Dendrocopos major","Ok ITIS"
"128","Dendrocopos medius","Dendrocopos medius","Ok ITIS"
"129","Dendrocopos minor","Dendrocopos minor","Ok ITIS"
"130","Dendrocopos syriacus","Dendrocopos syriacus","Ok ITIS"
"131","Dendrocoptes medius","Dendrocoptes medius","Ok ITIS"
"132","Dendrocopus major","Dendrocopus major","Ok ITIS"
"133","Dendrocopus medius","Dendrocopus medius","Ok ITIS"
"134","Dendrocopus minor","Dendrocopus minor","Ok ITIS"
"135","Dryobates minor","Dryobates minor","Ok ITIS"
"136","Dryocopos martius","Dryocopos martius","Ok ITIS"
"137","Dryocopus martius","Dryocopus martius","Ok ITIS"
"138","Dryocopus martius)","Dryocopus martius)","Ok ITIS"
"139","Egretta alba","Egretta alba","Ok ITIS"
"140","Egretta garzetta","Egretta garzetta","Ok ITIS"
"141","Emberiza calandra","Emberiza calandra","Ok ITIS"
"142","Emberiza citrinella","Emberiza citrinella","Ok ITIS"
"143","Emberiza hortulana","Emberiza hortulana","Ok ITIS"
"144","Emberiza schoeniclus","Emberiza schoeniclus","Ok ITIS"
"145","Erithacus rubecula","Erithacus rubecula","Ok ITIS"
"146","Falco columbarius","Falco columbarius","Ok ITIS"
"147","Falco peregrinus","Falco peregrinus","Ok ITIS"
"148","Falco subbuteo","Falco subbuteo","Ok ITIS"
"149","Falco tinnuculus","Falco tinnuculus","Ok ITIS"
"150","Falco tinnunculus","Falco tinnunculus","Ok ITIS"
"151","Ficedula albicolis","Ficedula albicolis","Ok ITIS"
"152","Ficedula albicollis","Ficedula albicollis","Ok ITIS"
"153","Ficedula hypoleuca","Ficedula hypoleuca","Ok ITIS"
"154","Ficedula parva","Ficedula parva","Ok ITIS"
"155","Fringilla coelebs","Fringilla coelebs","Ok ITIS"
"156","Fringilla montifringila","Fringilla montifringila","Ok ITIS"
"157","Fringilla montifringilla","Fringilla montifringilla","Ok ITIS"
"158","Fulica astra","Fulica astra","Ok ITIS"
"159","Fulica atra","Fulica atra","Ok ITIS"
"160","Galerida cristata ","Galerida cristata ","Ok ITIS"
"161","Gallinago gallinago","Gallinago gallinago","Ok ITIS"
"162","Gallinago media","Gallinago media","Ok ITIS"
"163","Gallinula chlorophus","Gallinula chlorophus","Ok ITIS"
"164","Gallinula chloropus","Gallinula chloropus","Ok ITIS"
"165","Garrulus garrulus","Garrulus garrulus","Ok ITIS"
"166","Garrulus glandarius","Garrulus glandarius","Ok ITIS"
"167","Garullus glandarius","Garullus glandarius","Ok ITIS"
"168","Gavia arctica","Gavia arctica","Ok ITIS"
"169","Gavia stellata","Gavia stellata","Ok ITIS"
"170","Gelochelidon nilotica","Gelochelidon nilotica","Ok ITIS"
"171","Glareola pratincola","Glareola pratincola","Ok ITIS"
"172","Glaucidium passerinum","Glaucidium passerinum","Ok ITIS"
"173","Grus grus","Grus grus","Ok ITIS"
"174","Haematopus ostralegus","Haematopus ostralegus","Ok ITIS"
"175","Haliaeetus albicilla","Haliaeetus albicilla","Ok ITIS"
"176","Himantopus himantopus","Himantopus himantopus","Ok ITIS"
"177","Hippolais icterina","Hippolais icterina","Ok ITIS"
"178","Hirundo rustica","Hirundo rustica","Ok ITIS"
"179","Hydrocoloeus minutus","Hydrocoloeus minutus","Ok ITIS"
"180","Hydroprogne caspia","Hydroprogne caspia","Ok ITIS"
"181","Charadrius dubius","Charadrius dubius","Ok ITIS"
"182","Charadrius hiaticula","Charadrius hiaticula","Ok ITIS"
"183","Charadrius morinellus ","Charadrius morinellus ","Ok ITIS"
"184","Chlidonias hybrida","Chlidonias hybrida","Ok ITIS"
"185","Chlidonias leucopterus","Chlidonias leucopterus","Ok ITIS"
"186","Chlidonias niger","Chlidonias niger","Ok ITIS"
"187","Chlidonias nigra","Chlidonias nigra","Ok ITIS"
"188","Chloris chloris","Chloris chloris","Ok ITIS"
"189","Chroicocephalus ridibundus","Chroicocephalus ridibundus","Ok ITIS"
"190","Ichthyaetus melanocephalus","Ichthyaetus melanocephalus","Ok ITIS"
"191","Ixobrychus minutus","Ixobrychus minutus","Ok ITIS"
"192","Jynx torquilla","Jynx torquilla","Ok ITIS"
"193","Lanius collurio","Lanius collurio","Ok ITIS"
"194","Lanius excubitor","Lanius excubitor","Ok ITIS"
"195","Larus argentatus","Larus argentatus","Ok ITIS"
"196","Larus cachinnans","Larus cachinnans","Ok ITIS"
"197","Larus canus","Larus canus","Ok ITIS"
"198","Larus fuscus","Larus fuscus","Ok ITIS"
"199","Larus ridibundus","Larus ridibundus","Ok ITIS"
"200","Larus sp.","Larus sp.","Ok ITIS"
"201","Limosa lapponica","Limosa lapponica","Ok ITIS"
"202","Limosa limosa ","Limosa limosa ","Ok ITIS"
"203","Linaria cannabina","Linaria cannabina","Ok ITIS"
"204","Locustella fluviatilis","Locustella fluviatilis","Ok ITIS"
"205","Locustella luscinioides","Locustella luscinioides","Ok ITIS"
"206","Locustella naevia","Locustella naevia","Ok ITIS"
"207","Lophoohanes cristatus","Lophoohanes cristatus","Ok ITIS"
"208","Lophophanes cristatus","Lophophanes cristatus","Ok ITIS"
"209","Lophophanes cristaus","Lophophanes cristaus","Ok ITIS"
"210","Loxia curvirostra","Loxia curvirostra","Ok ITIS"
"211","Lullula arborea","Lullula arborea","Ok ITIS"
"212","Lulula arborea","Lulula arborea","Ok ITIS"
"213","Luscinia luscinia","Luscinia luscinia","Ok ITIS"
"214","Luscinia megarhynchos","Luscinia megarhynchos","Ok ITIS"
"215","Luscinia svecica","Luscinia svecica","Ok ITIS"
"216","Luscinia svecica cyanecula","Luscinia svecica cyanecula","Ok ITIS"
"217","Luscinia svecica svecica","Luscinia svecica svecica","Ok ITIS"
"218","Lymnocryptes minimus","Lymnocryptes minimus","Ok ITIS"
"219","Lyrurus tetrix","Lyrurus tetrix","Ok ITIS"
"220","Mareca penelope","Mareca penelope","Ok ITIS"
"221","Mareca strepera","Mareca strepera","Ok ITIS"
"222","Melanitta fusca","Melanitta fusca","Ok ITIS"
"223","Melanitta nigra","Melanitta nigra","Ok ITIS"
"224","Mergellus albellus","Mergellus albellus","Ok ITIS"
"225","Mergus merganser","Mergus merganser","Ok ITIS"
"226","Mergus serrator ","Mergus serrator ","Ok ITIS"
"227","Merops apiaster","Merops apiaster","Ok ITIS"
"228","Milvus migrans ","Milvus migrans ","Ok ITIS"
"229","Milvus milvus","Milvus milvus","Ok ITIS"
"230","Motacilia cinerea","Motacilia cinerea","Ok ITIS"
"231","Motacilla alba","Motacilla alba","Ok ITIS"
"232","Motacilla cinerea","Motacilla cinerea","Ok ITIS"
"233","Motacilla citreola ","Motacilla citreola ","Ok ITIS"
"234","Motacilla flava","Motacilla flava","Ok ITIS"
"235","Motacilla sp.","Motacilla sp.","Ok ITIS"
"236","Motecilla alba","Motecilla alba","Ok ITIS"
"237","Muscicapa hypoleuca","Muscicapa hypoleuca","Ok ITIS"
"238","Muscicapa striata","Muscicapa striata","Ok ITIS"
"239","Netta rufina ","Netta rufina ","Ok ITIS"
"240","Nucifraga caryocatactes","Nucifraga caryocatactes","Ok ITIS"
"241","Numenius arquata","Numenius arquata","Ok ITIS"
"242","Numenius phaeopus","Numenius phaeopus","Ok ITIS"
"243","Nycticorax nycticorax","Nycticorax nycticorax","Ok ITIS"
"244","Oenanthe oenanthe","Oenanthe oenanthe","Ok ITIS"
"245","Oriolus oriolus","Oriolus oriolus","Ok ITIS"
"246","Pandion haliaetus","Pandion haliaetus","Ok ITIS"
"247","Panurus biarmicus","Panurus biarmicus","Ok ITIS"
"248","Parus ater","Parus ater","Ok ITIS"
"249","Parus caeruelus","Parus caeruelus","Ok ITIS"
"250","Parus caeruleus","Parus caeruleus","Ok ITIS"
"251","Parus coeruleus","Parus coeruleus","Ok ITIS"
"252","Parus cristatus","Parus cristatus","Ok ITIS"
"253","Parus major","Parus major","Ok ITIS"
"254","Parus montanus","Parus montanus","Ok ITIS"
"255","Parus palustris","Parus palustris","Ok ITIS"
"256","Passer domesticus","Passer domesticus","Ok ITIS"
"257","Passer montanus","Passer montanus","Ok ITIS"
"258","Perdix perdix","Perdix perdix","Ok ITIS"
"259","Periparus ater","Periparus ater","Ok ITIS"
"260","Pernis apivorus","Pernis apivorus","Ok ITIS"
"261","Perus major","Perus major","Ok ITIS"
"262","Phalacrocorax carbo","Phalacrocorax carbo","Ok ITIS"
"263","Phalaropus lobatus","Phalaropus lobatus","Ok ITIS"
"264","Phasianus colchicus","Phasianus colchicus","Ok ITIS"
"265","Phasianus colchius","Phasianus colchius","Ok ITIS"
"266","Philomachus pugnax ","Philomachus pugnax ","Ok ITIS"
"267","Phoenicurus ochruros","Phoenicurus ochruros","Ok ITIS"
"268","Phoenicurus phoenicurus","Phoenicurus phoenicurus","Ok ITIS"
"269","Phylloscopus collybita","Phylloscopus collybita","Ok ITIS"
"270","Phylloscopus colybita","Phylloscopus colybita","Ok ITIS"
"271","Phylloscopus sibilatrix","Phylloscopus sibilatrix","Ok ITIS"
"272","Phylloscopus trochillus","Phylloscopus trochillus","Ok ITIS"
"273","Phylloscopus trochiloides ","Phylloscopus trochiloides ","Ok ITIS"
"274","Phylloscopus trochilus","Phylloscopus trochilus","Ok ITIS"
"275","Phyloscopus collybita","Phyloscopus collybita","Ok ITIS"
"276","Phyloscopus trochilus","Phyloscopus trochilus","Ok ITIS"
"277","Pica pica","Pica pica","Ok ITIS"
"278","Picoides major","Picoides major","Ok ITIS"
"279","Picoides tridactylus","Picoides tridactylus","Ok ITIS"
"280","Picus canaus","Picus canaus","Ok ITIS"
"281","Picus canus ","Picus canus ","Ok ITIS"
"282","Picus viridis","Picus viridis","Ok ITIS"
"283","Picus viridus","Picus viridus","Ok ITIS"
"284","Platalea leucorodia","Platalea leucorodia","Ok ITIS"
"285","Plegadis falcinellus","Plegadis falcinellus","Ok ITIS"
"286","Pluvialis apricaria ","Pluvialis apricaria ","Ok ITIS"
"287","Pluvialis squatarola","Pluvialis squatarola","Ok ITIS"
"288","Podiceps auritus","Podiceps auritus","Ok ITIS"
"289","Podiceps cristatus","Podiceps cristatus","Ok ITIS"
"290","Podiceps grisegena","Podiceps grisegena","Ok ITIS"
"291","Podiceps griseigena","Podiceps griseigena","Ok ITIS"
"292","Podiceps nigricollis","Podiceps nigricollis","Ok ITIS"
"293","Podiceps ruficollis","Podiceps ruficollis","Ok ITIS"
"294","Poecile atricapillus","Poecile atricapillus","Ok ITIS"
"295","Poecile montanus","Poecile montanus","Ok ITIS"
"296","Poecile palustris","Poecile palustris","Ok ITIS"
"297","Porphyrio porphyrio","Porphyrio porphyrio","Ok ITIS"
"298","Porzana parva","Porzana parva","Ok ITIS"
"299","Porzana porzana","Porzana porzana","Ok ITIS"
"300","Porzana pusilla","Porzana pusilla","Ok ITIS"
"301","Prunella collaris ","Prunella collaris ","Ok ITIS"
"302","Prunella modularis","Prunella modularis","Ok ITIS"
"303","Pyrrhula pyrrhula","Pyrrhula pyrrhula","Ok ITIS"
"304","Pyrrhulla pyrrhula","Pyrrhulla pyrrhula","Ok ITIS"
"305","Rallus aquaticus","Rallus aquaticus","Ok ITIS"
"306","Recurvirostra avosetta","Recurvirostra avosetta","Ok ITIS"
"307","Regulus ignicapilla","Regulus ignicapilla","Ok ITIS"
"308","Regulus ignicapillus","Regulus ignicapillus","Ok ITIS"
"309","Regulus regulus","Regulus regulus","Ok ITIS"
"310","Remiz pendulinus","Remiz pendulinus","Ok ITIS"
"311","Riparia riparia","Riparia riparia","Ok ITIS"
"312","Saxicola rubetra","Saxicola rubetra","Ok ITIS"
"313","Saxicola rubicola","Saxicola rubicola","Ok ITIS"
"314","Saxicola torquata ","Saxicola torquata ","Ok ITIS"
"315","Saxicola torquatus","Saxicola torquatus","Ok ITIS"
"316","Scolopax rusticola","Scolopax rusticola","Ok ITIS"
"317","Serinus canaria","Serinus canaria","Ok ITIS"
"318","Serinus serinus","Serinus serinus","Ok ITIS"
"319","Sitta eroupaea","Sitta eroupaea","Ok ITIS"
"320","Sitta europaea","Sitta europaea","Ok ITIS"
"321","Sitta europea","Sitta europea","Ok ITIS"
"322","Spatula clypeata","Spatula clypeata","Ok ITIS"
"323","Spatula querquedula","Spatula querquedula","Ok ITIS"
"324","Spinus spinus","Spinus spinus","Ok ITIS"
"325","Stercorarius parasiticus","Stercorarius parasiticus","Ok ITIS"
"326","Stercorarius pomarinus","Stercorarius pomarinus","Ok ITIS"
"327","Sterna caspica","Sterna caspica","Ok ITIS"
"328","Sterna hirundo","Sterna hirundo","Ok ITIS"
"329","Sternula albifrons","Sternula albifrons","Ok ITIS"
"330","Streptopelia decaocto","Streptopelia decaocto","Ok ITIS"
"331","Streptopelia turtur","Streptopelia turtur","Ok ITIS"
"332","Strix aluco","Strix aluco","Ok ITIS"
"333","Strunus vulgaris","Strunus vulgaris","Ok ITIS"
"334","Strurnus vulgaris","Strurnus vulgaris","Ok ITIS"
"335","Sturnus vulgaris","Sturnus vulgaris","Ok ITIS"
"336","Svivia borin","Svivia borin","Ok ITIS"
"337","Sylvia atricapilla","Sylvia atricapilla","Ok ITIS"
"338","Sylvia borin","Sylvia borin","Ok ITIS"
"339","Sylvia communis","Sylvia communis","Ok ITIS"
"340","Sylvia curruca","Sylvia curruca","Ok ITIS"
"341","Sylvia nisoria","Sylvia nisoria","Ok ITIS"
"342","Sylvia nissoria ","Sylvia nissoria ","Ok ITIS"
"343","Tadorna ferruginea","Tadorna ferruginea","Ok ITIS"
"344","Tadorna tadorna","Tadorna tadorna","Ok ITIS"
"345","Tachybaptus ruficollis","Tachybaptus ruficollis","Ok ITIS"
"346","Tatrastes bonasia","Tatrastes bonasia","Ok ITIS"
"347","Tetrao tetrix ","Tetrao tetrix ","Ok ITIS"
"348","Tetrao urogallus ","Tetrao urogallus ","Ok ITIS"
"349","Tetrastes bonasia","Tetrastes bonasia","Ok ITIS"
"350","Tringa erythropus ","Tringa erythropus ","Ok ITIS"
"351","Tringa glareola ","Tringa glareola ","Ok ITIS"
"352","Tringa hypoleuca","Tringa hypoleuca","Ok ITIS"
"353","Tringa nebularia","Tringa nebularia","Ok ITIS"
"354","Tringa ochropus","Tringa ochropus","Ok ITIS"
"355","Tringa stagnatilis","Tringa stagnatilis","Ok ITIS"
"356","Tringa totanus","Tringa totanus","Ok ITIS"
"357","Troglodytes troglodytes","Troglodytes troglodytes","Ok ITIS"
"358","Tudrus torquatus","Tudrus torquatus","Ok ITIS"
"359","Turdus iliacus","Turdus iliacus","Ok ITIS"
"360","Turdus merula","Turdus merula","Ok ITIS"
"361","Turdus philomelos","Turdus philomelos","Ok ITIS"
"362","Turdus pilaris","Turdus pilaris","Ok ITIS"
"363","Turdus torquatus","Turdus torquatus","Ok ITIS"
"364","Turdus viscivorus","Turdus viscivorus","Ok ITIS"
"365","Tyto alba","Tyto alba","Ok ITIS"
"366","Upupa epops","Upupa epops","Ok ITIS"
"367","Upupa epos","Upupa epos","Ok ITIS"
"368","Vanellus gregarius","Vanellus gregarius","Ok ITIS"
"369","Vanellus vanellus","Vanellus vanellus","Ok ITIS"
